uii_code,name,region,old_region,province,old_province,city_municipality,old_city_municipality,sector,latitude,longitude,coord_status,is_multi_campus,psgc_observed_region,psgc_observed_province,psgc_observed_municity,psgc_observed_barangay
04517,Batangas State University-Mabini,Region IV-A,Region 04-A,Batangas,Batangas,Mabini,Mabini,Public SUC Satellite,13.7235514,120.907304,valid,False,04,04010,0401016,0401016014
04071,Batangas State University-Main,Region IV-A,Region 04-A,Batangas,Batangas,BATANGAS CITY (Capital),BATANGAS CITY (Capital),Public SUC Main,13.7536417,121.0525195,valid,False,04,04010,0401005,0401005067
04151,Batangas State University-Malvar,Region IV-A,Region 04-A,Batangas,Batangas,Malvar,Malvar,Public SUC Satellite,14.0449448,121.1559532,valid,False,04,04010,0401017,0401017008
04004,Batangas State University-Nasugbu,Region IV-A,Region 04-A,Batangas,Batangas,Nasugbu,Nasugbu,Public SUC Satellite,14.0666794,120.6261305,valid,False,04,04010,0401019,0401019016
04071f,Batangas State University-Rosario,Region IV-A,Region 04-A,Batangas,Batangas,Rosario,Rosario,Public SUC Satellite,13.8466836,121.1969645,valid,False,04,04010,0401021,0401021026
04071g,Batangas State University-San Juan,Region IV-A,Region 04-A,Batangas,Batangas,San Juan,San Juan,Public SUC Satellite,13.8023692,121.4037188,valid,False,04,04010,0401023,0401023040
04192,Binangonan Catholic College,Region IV-A,Region 04-A,Rizal,Rizal,Binangonan,Binangonan,Private,14.464951,121.192833,valid,False,04,04058,0405804,0405804020
04377,Brookfield College in Cavite,Region IV-A,Region 04-A,Cavite,Cavite,Dasmariñas City,Dasmariñas City,Private,14.3519541,120.9363064,valid,False,04,04021,0402106,0402106012
,CARD-MRI Development Institute,Region IV-A,Region 04-A,Laguna,Laguna,Bay,Bay,Private,14.1298493,121.2600161,valid,False,04,04034,0403402,0403402015
04514,CITI Global College-Calamba,Region IV-A,Region 04-A,Laguna,Laguna,CITY OF CALAMBA,CITY OF CALAMBA,Private,14.2096111,121.1606356,valid,False,04,04034,0403405,0403405040
04414,CSTC College of Sciences Technology and Communications,Region IV-A,Region 04-A,Quezon,Quezon,Sariaya,Sariaya,Private,13.9648961,121.529946,valid,False,04,04056,0405645,0405645034
,CSTC College of Sciences Technology and Communications-Atinomnan,Region IV-A,Region 04-A,Quezon,Quezon,Atimonan,Atimonan,Private,13.9976614,121.9189588,valid,False,04,04056,0405603,0405603039
04355,CVE Colleges,Region IV-A,Region 04-A,Quezon,Quezon,Pagbilao,Pagbilao,Private,13.9698759,121.6848887,valid,False,04,04056,0405630,0405630021
04160,Cainta Catholic College,Region IV-A,Region 04-A,Rizal,Rizal,Cainta,Cainta,Private,14.5777169,121.1163691,valid,False,04,04058,0405805,0405805014
04272,Calamba Doctors' College,Region IV-A,Region 04-A,Laguna,Laguna,CITY OF CALAMBA,CITY OF CALAMBA,Private,14.2162461,121.1433805,valid,False,04,04034,0403405,0403405037
04008,Calauag Central College,Region IV-A,Region 04-A,Quezon,Quezon,Calauag,Calauag,Private,13.9573134,122.2887594,valid,False,04,04056,0405607,0405607016
04059,Calayan Educational Foundation,Region IV-A,Region 04-A,Quezon,Quezon,LUCENA CITY,LUCENA CITY,Private,13.9441866,121.6308947,valid,False,04,04312,0431200,0431200020
04009,Canossa College,Region IV-A,Region 04-A,Laguna,Laguna,San Pablo City,San Pablo City,Private,14.0771471,121.3221388,valid,False,04,04034,0403424,0403424027
,Casa Del Ni�?±o College,Region IV-A,Region 04-A,Laguna,Laguna,SAN PEDRO,SAN PEDRO,Private,14.3528609,121.0458348,valid,False,04,04034,0403425,0403425025
04385,Cavite State University-Bacoor City Campus,Region IV-A,Region 04-A,Cavite,Cavite,BACOOR CITY,BACOOR CITY,Public SUC Satellite,14.4129931,120.9736786,valid,False,04,04021,0402103,0402103045
04318,Cavite State University-Carmona Campus,Region IV-A,Region 04-A,Cavite,Cavite,Carmona,Carmona,Public SUC Satellite,14.3169729,121.0646989,valid,False,04,04021,0402104,0402104010
04260,Cavite State University-Cavite City Camous,Region IV-A,Region 04-A,Cavite,Cavite,Cavite City,Cavite City,Public SUC Satellite,14.4585313,120.8801832,valid,False,04,04021,0402105,0402105061
04386,Cavite State University-General Trias Campus,Region IV-A,Region 04-A,Cavite,Cavite,CITY OF GENERAL TRIAS,CITY OF GENERAL TRIAS,Public SUC Satellite,14.3849877,120.8805039,valid,False,04,04021,0402108,0402108008
04319,Cavite State University-Imus Campus,Region IV-A,Region 04-A,Cavite,Cavite,IMUS,IMUS,Public SUC Satellite,14.42846,120.946971,valid,False,04,04021,0402109,0402109084
04027,Cavite State University-Main,Region IV-A,Region 04-A,Cavite,Cavite,Indang,Indang,Public SUC Main,14.1978164,120.8814901,valid,False,04,04021,0402110,0402110036
04011,Cavite State University-Naic Campus,Region IV-A,Region 04-A,Cavite,Cavite,Naic,Naic,Public SUC Satellite,14.3226951,120.7539357,valid,False,04,04021,0402115,0402115001
04010,Cavite State University-Rosario Campus,Region IV-A,Region 04-A,Cavite,Cavite,Rosario,Rosario,Public SUC Satellite,14.4035451,120.8659793,valid,False,04,04021,0402117,0402117010
04362,Cavite State University-Silang Campus,Region IV-A,Region 04-A,Cavite,Cavite,Silang,Silang,Public SUC Satellite,14.2407678,120.9786792,valid,False,04,04021,0402118,0402118007
04384,Cavite State University-Tanza Campus,Region IV-A,Region 04-A,Cavite,Cavite,Tanza,Tanza,Public SUC Satellite,14.3332511,120.8501492,valid,False,04,04021,0402120,0402120002
04350,Cavite State University-Trece Martires City Campus,Region IV-A,Region 04-A,Cavite,Cavite,Trece Martires City,Trece Martires City,Public SUC Satellite,14.2823917,120.868896,valid,False,04,04021,0402122,0402122006
04234,Cavite West Point College,Region IV-A,Region 04-A,Cavite,Cavite,Ternate,Ternate,Private,14.2803331,120.7271504,valid,False,04,04021,0402121,0402121009
04437,Center for Biblical Studies Institute & Seminary,Region IV-A,Region 04-A,Rizal,Rizal,CITY OF ANTIPOLO,CITY OF ANTIPOLO,Private,14.601886,121.1914925,valid,False,04,04058,0405802,0405802016
,Citi Global College-Bi�?±an,Region IV-A,Region 04-A,Laguna,Laguna,Biñan City,Biñan City,Private,14.3389924,121.083196,valid,False,04,04034,0403403,0403403016
04463,Citi Global College-Cabuyao,Region IV-A,Region 04-A,Laguna,Laguna,CABUYAO,CABUYAO,Private,14.2768418,121.1235841,valid,False,04,04034,0403404,0403404018
04356,City College of Calamba,Region IV-A,Region 04-A,Laguna,Laguna,CITY OF CALAMBA,CITY OF CALAMBA,Public LUC,14.2119885,121.1676443,valid,False,04,04034,0403405,0403405044
04375,City College of Tagaytay,Region IV-A,Region 04-A,Cavite,Cavite,Tagaytay City,Tagaytay City,Public LUC,14.1013657,120.9386044,valid,False,04,04021,0402119,0402119008
04015,Colegio De San Juan De Letran-Calamba,Region IV-A,Region 04-A,Laguna,Laguna,CITY OF CALAMBA,CITY OF CALAMBA,Private,14.1887239,121.165406,valid,False,04,04034,0403405,0403405006
04155,Colegio De San Pedro,Region IV-A,Region 04-A,Laguna,Laguna,SAN PEDRO,SAN PEDRO,Private,14.3475183,121.0592914,valid,False,04,04034,0403425,0403425026
,Colegio San Agustin-Bi�?±an,Region IV-A,Region 04-A,Laguna,Laguna,Biñan City,Biñan City,Private,14.3403307,121.0846948,valid,False,04,04034,0403403,0403403016
04365,Colegio de Amore,Region IV-A,Region 04-A,Cavite,Cavite,Trece Martires City,Trece Martires City,Private,14.271734,120.873671,valid,False,04,04021,0402122,0402122015
04507,Colegio de La Ciudad de Tayabas,Region IV-A,Region 04-A,QUEZON,Quezon Province,CITY OF TAYABAS,CITY OF TAYABAS,Public LUC,14.0228721,121.5893273,valid,False,04,04056,0405647,0405647053
,Colegio de Los Ba�?±os,Region IV-A,Region 04-A,Laguna,Laguna,Los BA�?OS,Los BA�?OS,Private,14.1699121,121.2440631,valid,False,04,04034,0403411,0403411004
04345,Colegio de Montalban,Region IV-A,Region 04-A,Rizal,Rizal,RODRIGUEZ (MONTALBAN),RODRIGUEZ (MONTALBAN),Public LUC,14.7505016,121.1416472,valid,False,04,04058,0405808,0405808010
04395,Colegio de Porta Vaga,Region IV-A,Region 04-A,Cavite,Cavite,IMUS,IMUS,Private,14.4079389,120.9403291,valid,False,04,04021,0402109,0402109046
04398,Colegio de Santo Cristo de Burgos,Region IV-A,Region 04-A,Quezon,Quezon,Sariaya,Sariaya,Private,13.9473602,121.4916789,valid,False,04,04056,0405645,0405645041
04468,Colegio de Sto. Domingo de Silos,Region IV-A,Region 04-A,Batangas,Batangas,Calatagan,Calatagan,Private,13.8744704,120.6324465,valid,False,04,04010,0401008,0401008010
04359,Colegio ng Lungsod ng Batangas,Region IV-A,Region 04-A,Batangas,Batangas,BATANGAS CITY (Capital),BATANGAS CITY (Capital),Public LUC,13.7528676,121.0506309,valid,False,04,04010,0401005,0401005095
04446,College of Saint John Paul II Arts And Sciences,Region IV-A,Region 04-A,Rizal,Rizal,Cainta,Cainta,Private,14.586048,121.115657,valid,False,04,04058,0405805,0405805020
04392,College of San Benildo-Rizal,Region IV-A,Region 04-A,Rizal,Rizal,CITY OF ANTIPOLO,CITY OF ANTIPOLO,Private,14.6203457,121.1474057,valid,False,04,04058,0405802,0405802010
04293,DMMC Institute of Health Sciences,Region IV-A,Region 04-A,Batangas,Batangas,Tanauan City,Tanauan City,Private,14.080859,121.1539281,valid,False,04,04010,0401031,0401031034
04462,Daehan College of Business and Technology,Region IV-A,Region 04-A,Rizal,Rizal,TayTay,TayTay,Private,14.5423769,121.1210037,valid,False,04,04058,0405813,0405813004
04280,Dalubhasaan ng Lungsod ng Lucena,Region IV-A,Region 04-A,Quezon,Quezon,LUCENA CITY,LUCENA CITY,Public LUC,13.9464715,121.5896953,valid,False,04,04312,0431200,0431200026
04185,Dalubhasaan ng Lungsod ng San Pablo,Region IV-A,Region 04-A,Laguna,Laguna,San Pablo City,San Pablo City,Public LUC,14.0724952,121.3261566,valid,False,04,04034,0403424,0403424019
04019,De La Salle - Lipa,Region IV-A,Region 04-A,Batangas,Batangas,Lipa City,Lipa City,Private,13.9415698,121.147731,valid,False,04,04010,0401014,0401014031
04025,De La Salle Health Sciences Institute,Region IV-A,Region 04-A,Cavite,Cavite,Dasmariñas City,Dasmariñas City,Private,14.3277349,120.9432678,valid,False,04,04021,0402106,0402106019
,De La Salle University-Dasmari�?±as,Region IV-A,Region 04-A,Cavite,Cavite,Dasmariñas City,Dasmariñas City,Private,14.2990183,120.9589699,valid,False,04,04021,0402106,0402106013
04497,De La Salle-College of Saint Benilde-Antipolo,Region IV-A,Region 04-A,Rizal,Rizal,CITY OF ANTIPOLO,CITY OF ANTIPOLO,Private,14.5823894,121.1816454,valid,False,04,04058,0405802,0405802008
04020,Deaf Evangelistic Alliance Foundation,Region IV-A,Region 04-A,Laguna,Laguna,Cavinti,Cavinti,Private,14.2379869,121.5458984,valid,False,04,04034,0403407,0403407003
04023,Divine Word Seminary-Tagaytay,Region IV-A,Region 04-A,Cavite,Cavite,Tagaytay City,Tagaytay City,Private,14.1279031,120.9654259,valid,False,04,04021,0402119,0402119010
04139,Dominican College of Sta. Rosa,Region IV-A,Region 04-A,Laguna,Laguna,SANTA ROSA CITY,SANTA ROSA CITY,Private,14.281521,121.0991007,valid,False,04,04034,0403428,0403428002
04026,Don Bosco College-Canlubang,Region IV-A,Region 04-A,Laguna,Laguna,CITY OF CALAMBA,CITY OF CALAMBA,Private,14.2107047,121.1153379,valid,False,04,04034,0403405,0403405011
04043,Dr. Francisco L. Calingasan Memorial Colleges Foundation,Region IV-A,Region 04-A,Batangas,Batangas,Nasugbu,Nasugbu,Private,14.0580772,120.6377705,valid,False,04,04010,0401019,0401019005
04400,East Systems College of Rizal,Region IV-A,Region 04-A,Rizal,Rizal,Morong,Morong,Private,14.5097128,121.2418032,valid,False,04,04058,0405809,0405809008
04031,Eastern Quezon College,Region IV-A,Region 04-A,Quezon,Quezon,Gumaca,Gumaca,Private,13.9229978,122.0973784,valid,False,04,04056,0405619,0405619035
,Eastern Star Academy,Region IV-A,Region 04-A,Rizal,Rizal,San Mateo,San Mateo,Private,14.6808996,121.137001,valid,False,04,04058,0405811,0405811005
,Eastern Tayabas College,Region IV-A,Region 04-A,Quezon,Quezon,Lopez,Lopez,Private,13.8873251,122.2585225,valid,False,04,04056,0405622,0405622095
,Ebenezer International Colleges,Region IV-A,Region 04-A,Cavite,Cavite,CITY OF GENERAL TRIAS,CITY OF GENERAL TRIAS,Private,14.283182,120.913711,valid,False,04,04021,0402108,0402108011
04199,Emilio Aguinaldo Educational Corporation-Emilio Aguinaldo College,Region IV-A,Region 04-A,Cavite,Cavite,Dasmariñas City,Dasmariñas City,Private,14.3265762,120.9459228,valid,False,04,04021,0402106,0402106003
13056a,"Eulogio ""Amang"" Rodriguez Institute of Science and Technology-Cavite",Region IV-A,Region 04-A,Cavite,Cavite,General Mariano Alvarez,General Mariano Alvarez,Public SUC Satellite,14.299914,121.0098214,valid,False,04,04021,0402123,0402123006
,Evangelical Theological College of the Philippines-Luzon,Region IV-A,Region 04-A,Rizal,Rizal,Cainta,Cainta,Private,14.5914785,121.1379896,valid,False,04,04058,0405805,0405805016
04502,FCD Central Institute,Region IV-A,Region 04-A,Cavite,Cavite,Dasmariñas City,Dasmariñas City,Private,14.3263646,120.9399849,valid,False,04,04021,0402106,0402106019
,FEU Roosevelt,Region IV-A,Region 04-A,Rizal,Rizal,Cainta,Cainta,Private,14.6328372,121.1090785,valid,False,04,04058,0405805,0405805015
,Far East Asia Pacific Institute of Tourism Science and Technology,Region IV-A,Region 04-A,Cavite,Cavite,Tanza,Tanza,Private,14.3429329,120.8503144,valid,False,04,04021,0402120,0402120002
,Far Eastern College-Silang,Region IV-A,Region 04-A,Cavite,Cavite,Silang,Silang,Private,14.2370714,120.9609158,valid,False,04,04021,0402118,0402118008
04366,Far Eastern Polytechnic College,Region IV-A,Region 04-A,Cavite,Cavite,Dasmariñas City,Dasmariñas City,Private,14.3348638,120.9542357,valid,False,04,04021,0402106,0402106043
04250,First Asia Institute of Technology and Humanities,Region IV-A,Region 04-A,Batangas,Batangas,Tanauan City,Tanauan City,Private,14.0776053,121.1494686,valid,False,04,04010,0401031,0401031034
04508,First Industrial Science and Technology College,Region IV-A,Region 04-A,Batangas,Batangas,SANTO TOMAS,SANTO TOMAS,Private,14.1370935,121.130828,valid,False,04,04010,0401028,0401028024
04476,GRABSUM School,Region IV-A,Region 04-A,Quezon,Quezon,Candelaria,Candelaria,Private,13.934942,121.4292875,valid,False,04,04056,0405608,0405608012
04033,Golden Gate Colleges,Region IV-A,Region 04-A,Batangas,Batangas,BATANGAS CITY (Capital),BATANGAS CITY (Capital),Private,13.7570253,121.0606075,valid,False,04,04010,0401005,0401005077
04439,Grain of Wheat College,Region IV-A,Region 04-A,Rizal,Rizal,Taytay,Taytay,Private,14.5648462,121.1478737,valid,False,04,04058,0405813,0405813001
04407,Granby Colleges of Science & Technology,Region IV-A,Region 04-A,Cavite,Cavite,Naic,Naic,Private,14.3205541,120.769874,valid,False,04,04021,0402115,0402115013
,Guardian Bona Fide for Hope Foundation,Region IV-A,Region 04-A,Laguna,Laguna,Biñan City,Biñan City,Private,14.3141037,121.0727651,valid,False,04,04034,0403403,0403403003
04416,Guinayangan College Foundation,Region IV-A,Region 04-A,Quezon,Quezon,Guinayangan,Guinayangan,Private,13.9189813,122.4338093,valid,False,04,04056,0405618,0405618051
04035,Harris Memorial College,Region IV-A,Region 04-A,Rizal,Rizal,Taytay,Taytay,Private,14.5837299,121.1514867,valid,False,04,04058,0405813,0405813001
04251,Holy Child Jesus College,Region IV-A,Region 04-A,Quezon,Quezon,Gumaca,Gumaca,Private,13.921831,122.099736,valid,False,04,04056,0405619,0405619041
,ICCT Colleges Foundation,Region IV-A,Region 04-A,Rizal,Rizal,Cainta,Cainta,Private,14.633503,121.1084812,valid,False,04,04058,0405805,0405805015
,ICCT Colleges Foundation-Antipolo,Region IV-A,Region 04-A,Rizal,Rizal,CITY OF ANTIPOLO,CITY OF ANTIPOLO,Private,14.5834522,121.1696549,valid,False,04,04058,0405802,0405802009
,ICCT Colleges Foundation-Binangonan,Region IV-A,Region 04-A,Rizal,Rizal,Binangonan,Binangonan,Private,14.4796318,121.1879551,valid,False,04,04058,0405804,0405804007
,ICCT Colleges Foundation-San Mateo,Region IV-A,Region 04-A,Rizal,Rizal,San Mateo,San Mateo,Private,14.633503,121.1084812,valid,False,04,04058,0405805,0405805015
,ICCT Colleges Foundation-Taytay,Region IV-A,Region 04-A,Rizal,Rizal,Taytay,Taytay,Private,14.4797644,121.1881294,valid,False,04,04058,0405804,0405804007
,ICT-ED Institute of Science and Technology,Region IV-A,Region 04-A,Batangas,Batangas,Lipa City,Lipa City,Private,13.9019062,121.1943864,valid,False,04,04010,0401014,0401014037
,IETI College of Science and Technology,Region IV-A,Region 04-A,Laguna,Laguna,SAN PEDRO,SAN PEDRO,Private,14.3355364,121.0316271,valid,False,04,04034,0403425,0403425008
04325,ISHRM School System,Region IV-A,Region 04-A,Cavite,Cavite,BACOOR CITY,BACOOR CITY,Private,14.4482129,120.9411833,valid,False,04,04021,0402103,0402103008
04039,Immaculate Conception College-Balayan,Region IV-A,Region 04-A,Batangas,Batangas,Balayan,Balayan,Private,13.9382976,120.7288096,valid,False,04,04010,0401003,0401003009
,Immanuel Theological Seminary,Region IV-A,Region 04-A,Cavite,Cavite,Dasmariñas City,Dasmariñas City,Private,14.3308559,120.9395841,valid,False,04,04021,0402106,0402106079
04041,Imus Institute of Science and Technology,Region IV-A,Region 04-A,Cavite,Cavite,IMUS,IMUS,Private,14.426406,120.937953,valid,False,04,04021,0402109,0402109093
04488,Informatics College Cavite,Region IV-A,Region 04-A,Cavite,Cavite,IMUS,IMUS,Private,14.3924991,120.9399466,valid,False,04,04021,0402109,0402109032
04332,Informatics International College-Cainta,Region IV-A,Region 04-A,Rizal,Rizal,Cainta,Cainta,Private,14.5851355,121.1189806,valid,False,04,04058,0405805,0405805019
04181,Inter-Global College Foundation,Region IV-A,Region 04-A,Quezon,Quezon,LUCENA CITY,LUCENA CITY,Private,13.9574375,121.5921875,valid,False,04,04312,0431200,0431200014
04341,International Christian College of Manila,Region IV-A,Region 04-A,Rizal,Rizal,CITY OF ANTIPOLO,CITY OF ANTIPOLO,Private,14.5805589,121.1819968,valid,False,04,04058,0405802,0405802008
,International Electronics and Technical Institute (Calamba),Region IV-A,Region 04-A,Laguna,Laguna,CITY OF CALAMBA,CITY OF CALAMBA,Private,14.2140415,121.1711514,valid,False,04,04034,0403405,0403405054
04334,International Peace Leadership College,Region IV-A,Region 04-A,Rizal,Rizal,Tanay,Tanay,Private,14.5787997,121.3620348,valid,False,04,04058,0405812,0405812012
04420,Jesus Reigns Christian College Foundation-Amadeo,Region IV-A,Region 04-A,Cavite,Cavite,Amadeo,Amadeo,Private,14.1821589,120.9330913,valid,False,04,04021,0402102,0402102003
,Kolehiyo ng Lungsod ng Dasmari�?±as,Region IV-A,Region 04-A,Cavite,Cavite,Dasmariñas City,Dasmariñas City,Public LUC,14.3340623,120.9512534,valid,False,04,04021,0402106,0402106003
04141,Kolehiyo ng Lungsod ng Lipa,Region IV-A,Region 04-A,Batangas,Batangas,Lipa City,Lipa City,Public LUC,13.9628394,121.1742935,valid,False,04,04010,0401014,0401014017
04408,Kurios Christian Colleges Foundation,Region IV-A,Region 04-A,Cavite,Cavite,Magallanes,Magallanes,Private,14.1627121,120.7499762,valid,False,04,04021,0402112,0402112002
04274,LNC Corinthian Center,Region IV-A,Region 04-A,Laguna,Laguna,SANTA ROSA CITY,SANTA ROSA CITY,Private,14.2943705,121.1012402,valid,False,04,04034,0403428,0403428002
,La Consolacion College-Bi�?±an,Region IV-A,Region 04-A,Laguna,Laguna,Biñan City,Biñan City,Private,14.3265075,121.0777893,valid,False,04,04034,0403403,0403403003
04291,La Consolacion College-Tanauan,Region IV-A,Region 04-A,Batangas,Batangas,Tanauan City,Tanauan City,Private,14.085634,121.1534125,valid,False,04,04010,0401031,0401031032
04044,Laguna College,Region IV-A,Region 04-A,Laguna,Laguna,San Pablo City,San Pablo City,Private,14.0724952,121.3261566,valid,False,04,04034,0403424,0403424019
04046,Laguna College of Business and Arts,Region IV-A,Region 04-A,Laguna,Laguna,CITY OF CALAMBA,CITY OF CALAMBA,Private,14.210664,121.162031,valid,False,04,04034,0403405,0403405040
,Laguna Maritime Arts and Business Colleges,Region IV-A,Region 04-A,Laguna,Laguna,Pangil,Pangil,Private,14.4074227,121.4856066,valid,False,04,04034,0403421,0403421001
04047,Laguna Northwestern College,Region IV-A,Region 04-A,Laguna,Laguna,SAN PEDRO,SAN PEDRO,Private,14.3668946,121.0531612,valid,False,04,04034,0403425,0403425014
04403,Laguna Northwestern College-SLRMC,Region IV-A,Region 04-A,Laguna,Laguna,Siniloan,Siniloan,Private,14.4536779,121.4656699,valid,False,04,04034,0403429,0403429016
,Laguna Science and Technology College,Region IV-A,Region 04-A,Laguna,Laguna,SAN PEDRO,SAN PEDRO,Private,14.3532874,121.0675707,valid,False,04,04034,0403425,0403425005
,Laguna State Polytechnic University-Los Ba�?±os,Region IV-A,Region 04-A,Laguna,Laguna,Los BA�?OS,Los BA�?OS,Public SUC Satellite,14.1867953,121.2318546,valid,False,04,04034,0403411,0403411015
04048,Laguna State Polytechnic University-Main,Region IV-A,Region 04-A,Laguna,Laguna,Siniloan,Siniloan,Public SUC Main,14.4134203,121.4485459,valid,False,04,04034,0403429,0403429022
04113,Laguna State Polytechnic University-San Pablo City,Region IV-A,Region 04-A,Laguna,Laguna,San Pablo City,San Pablo City,Public SUC Satellite,14.083093,121.312231,valid,False,04,04034,0403424,0403424036
04045,Laguna State Polytechnic University-Sta. Cruz,Region IV-A,Region 04-A,Laguna,Laguna,SANTA CRUZ,SANTA CRUZ,Public SUC Satellite,14.2623126,121.397633,valid,False,04,04034,0403426,0403426003
04358,Laguna University,Region IV-A,Region 04-A,Laguna,Laguna,SANTA CRUZ,SANTA CRUZ,Public LUC,14.2569618,121.4053086,valid,False,04,04034,0403426,0403426003
04171,Lemery Colleges,Region IV-A,Region 04-A,Batangas,Batangas,Lemery,Lemery,Private,13.8831968,120.9179767,valid,False,04,04010,0401012,0401012005
04049,Leon Guinto Memorial College,Region IV-A,Region 04-A,Quezon,Quezon,Atimonan,Atimonan,Private,14.0005636,121.9209869,valid,False,04,04056,0405603,0405603005
04050,Lipa City Colleges,Region IV-A,Region 04-A,Batangas,Batangas,Lipa City,Lipa City,Private,13.9406893,121.1643847,valid,False,04,04010,0401014,0401014042
04484,Lyceum de San Pablo,Region IV-A,Region 04-A,Laguna,Laguna,San Pablo City,San Pablo City,Private,14.0578669,121.3240466,valid,False,04,04034,0403424,0403424047
04509,Lyceum of Southern Luzon,Region IV-A,Region 04-A,Batangas,Batangas,Balayan,Balayan,Private,13.9538042,120.7291617,valid,False,04,04010,0401003,0401003031
04054,Lyceum of the Philippines University-Batangas,Region IV-A,Region 04-A,Batangas,Batangas,BATANGAS CITY (Capital),BATANGAS CITY (Capital),Private,13.7640892,121.0651669,valid,False,04,04010,0401005,0401005034
04262,Lyceum of the Philippines University-St. Cabrini School of Health Sciences,Region IV-A,Region 04-A,Laguna,Laguna,CITY OF CALAMBA,CITY OF CALAMBA,Private,14.1087266,121.1447449,valid,False,04,04010,0401028,0401028002
04382,Lyceum of the Philippines-Cavite Campus,Region IV-A,Region 04-A,Cavite,Cavite,CITY OF GENERAL TRIAS,CITY OF GENERAL TRIAS,Private,14.2911306,120.9155067,valid,False,04,04021,0402108,0402108015
04252,Lyceum of the Philippines-Laguna,Region IV-A,Region 04-A,Laguna,Laguna,CITY OF CALAMBA,CITY OF CALAMBA,Private,14.1590006,121.1370249,valid,False,04,04034,0403405,0403405026
04485,MOL Magsaysay Maritime Academy,Region IV-A,Region 04-A,Cavite,Cavite,Dasmariñas City,Dasmariñas City,Private,14.3403176,120.9582789,valid,False,04,04021,0402106,0402106060
04284,Mabini College of Batangas,Region IV-A,Region 04-A,Batangas,Batangas,Mabini,Mabini,Private,13.7484515,120.9413086,valid,False,04,04010,0401016,0401016018
,Magna Anima Teachers College,Region IV-A,Region 04-A,Laguna,Laguna,SANTA ROSA CITY,SANTA ROSA CITY,Private,14.240374,121.0627372,valid,False,04,04034,0403428,0403428006
04372,Malayan Colleges of Laguna,Region IV-A,Region 04-A,Laguna,Laguna,CABUYAO,CABUYAO,Private,14.2439236,121.1123152,valid,False,04,04034,0403404,0403404002
04339,Manuel S. Enverga Institute Foundation-San Antonio,Region IV-A,Region 04-A,Quezon,Quezon,San Antonio,San Antonio,Private,13.8946137,121.2927073,valid,False,04,04056,0405641,0405641014
04515,Manuel S. Enverga University Foundation-Calauag,Region IV-A,Region 04-A,QUEZON,Quezon Province,Calauag,Calauag,Private,13.949456,121.6204042,valid,False,04,04312,0431200,0431200020
04064,Manuel S. Enverga University Foundation-Candelaria,Region IV-A,Region 04-A,Quezon,Quezon,Candelaria,Candelaria,Private,13.9305786,121.4313007,valid,False,04,04056,0405608,0405608008
04065,Manuel S. Enverga University Foundation-Catanauan,Region IV-A,Region 04-A,Quezon,Quezon,Catanauan,Catanauan,Private,13.5946913,122.3236623,valid,False,04,04056,0405610,0405610011
04056,Manuel S. Enverga University Foundation-Lucena,Region IV-A,Region 04-A,Quezon,Quezon,LUCENA CITY,LUCENA CITY,Private,13.949456,121.6204042,valid,False,04,04312,0431200,0431200020
04471,Marasigan Institute of Science and Technology,Region IV-A,Region 04-A,Cavite,Cavite,Dasmariñas City,Dasmariñas City,Private,14.350831,120.9375453,valid,False,04,04021,0402106,0402106012
04057,Marcelino Fule Memorial College,Region IV-A,Region 04-A,Laguna,Laguna,ALAMINOS,ALAMINOS Municipality,Private,14.0621254,121.2500116,valid,False,04,04034,0403401,0403401003
,Mary Help of Christian College Salesian Sisters,Region IV-A,Region 04-A,Laguna,Laguna,CITY OF CALAMBA,CITY OF CALAMBA,Private,14.2086715,121.1141891,valid,False,04,04034,0403405,0403405011
04162,Maryhill College,Region IV-A,Region 04-A,Quezon,Quezon,LUCENA CITY,LUCENA CITY,Private,13.936197,121.6123122,valid,False,04,04312,0431200,0431200008
04443,Mater Redemptoris Collegium,Region IV-A,Region 04-A,Laguna,Laguna,Calauan,Calauan,Private,14.1223813,121.2997765,valid,False,04,04034,0403406,0403406005
04444,Mind and Integrity College,Region IV-A,Region 04-A,Laguna,Laguna,CITY OF CALAMBA,CITY OF CALAMBA,Private,14.2268361,121.1399282,valid,False,04,04034,0403405,0403405053
04197,Montessori Professional Colleges of Asia,Region IV-A,Region 04-A,Rizal,Rizal,CITY OF ANTIPOLO,CITY OF ANTIPOLO,Private,14.6217084,121.1015305,valid,False,13,13807,1380700,1380700008
04343,Montessori Professional Colleges of Asia-Imus,Region IV-A,Region 04-A,Cavite,Cavite,IMUS,IMUS,Private,14.4225214,120.9422514,valid,False,04,04021,0402109,0402109094
04159,Mt. St. Aloysius College Seminary,Region IV-A,Region 04-A,Quezon,Quezon,Gumaca,Gumaca,Private,13.926755,122.093198,valid,False,04,04056,0405619,0405619039
04459,NTC Education-Batangas,Region IV-A,Region 04-A,Batangas,Batangas,Tanauan City,Tanauan City,Private,14.0835445,121.1476147,valid,False,04,04010,0401031,0401031038
,NU Dasmari�?±as,Region IV-A,Region 04-A,Cavite,Cavite,Dasmariñas City,Dasmariñas City,Private,14.3021508,120.9571044,valid,False,04,04021,0402106,0402106013
04491,NU Sports Academy,Region IV-A,Region 04-A,Laguna,Laguna,CITY OF CALAMBA,CITY OF CALAMBA,Private,14.1869747,121.1247233,valid,False,04,04034,0403405,0403405004
