uii_code,name,region,old_region,province,old_province,city_municipality,old_city_municipality,sector,latitude,longitude,coord_status,is_multi_campus,psgc_observed_region,psgc_observed_province,psgc_observed_municity,psgc_observed_barangay
16012,Holy Child Colleges of Butuan City,CARAGA,CARAGA,Agusan Del Norte,Agusan Del Norte,BUTUAN CITY (Capital),BUTUAN CITY (Capital),Private,8.9415851,125.5378577,valid,False,16,16304,1630400,1630400045
16031,Merchant Marine Academy of Caraga,CARAGA,CARAGA,Agusan Del Norte,Agusan Del Norte,BUTUAN CITY (Capital),BUTUAN CITY (Capital),Private,8.955713,125.5410927,valid,False,16,16304,1630400,1630400071
16006,Mt. Carmel College of San Francisco,CARAGA,CARAGA,Agusan Del Sur,Agusan Del Sur,San Francisco,San Francisco,Private,8.5060472,125.9750506,valid,False,16,16003,1600308,1600308017
11071,North Eastern Mindanao State University-Cagwait,CARAGA,CARAGA,Surigao Del Sur,Surigao Del Sur,Cagwait,Cagwait,Public SUC Satellite,8.8936805,126.301635,valid,False,16,16068,1606804,1606804012
11083,North Eastern Mindanao State University-Cantilan,CARAGA,CARAGA,Surigao Del Sur,Surigao Del Sur,Cantilan,Cantilan,Public SUC Satellite,9.2828234,125.9421877,valid,False,16,16068,1606805,1606805014
11072,North Eastern Mindanao State University-Lianga,CARAGA,CARAGA,Surigao Del Sur,Surigao Del Sur,Lianga,Lianga,Public SUC Satellite,8.6339419,126.0936177,valid,False,16,16068,1606811,1606811010
11084,North Eastern Mindanao State University-Main,CARAGA,CARAGA,Surigao Del Sur,Surigao Del Sur,Tandag City,Tandag City,Public SUC Main,9.0394399,126.2160314,valid,False,16,16068,1606819,1606819015
11074,North Eastern Mindanao State University-San Miguel,CARAGA,CARAGA,Surigao Del Sur,Surigao Del Sur,San Miguel,San Miguel,Public SUC Satellite,8.9653061,125.9600723,valid,False,16,16068,1606816,1606816006
11073,North Eastern Mindanao State University-Tagbina,CARAGA,CARAGA,Surigao Del Sur,Surigao Del Sur,Tagbina,Tagbina,Public SUC Satellite,8.451115,126.1646754,valid,False,16,16068,1606817,1606817012
10094,Northeastern Mindanao Colleges,CARAGA,CARAGA,Surigao Del Norte,Surigao Del Norte,Surigao City,Surigao City,Private,9.78905,125.49317,valid,False,16,16067,1606724,1606724068
10057,Northern Mindanao Colleges,CARAGA,CARAGA,Agusan Del Norte,Agusan Del Norte,Cabadbaran City,Cabadbaran City,Private,9.1215678,125.5350879,valid,False,16,16002,1600203,1600203023
10062,Northwestern Agusan Colleges,CARAGA,CARAGA,Agusan Del Norte,Agusan Del Norte,Nasipit,Nasipit,Private,8.9793913,125.3498171,valid,False,16,16002,1600209,1600209016
16022,Philippine Electronics and Communication Institute of Technology,CARAGA,CARAGA,Agusan del Norte,Agusan del Norte,BUTUAN CITY (Capital),BUTUAN CITY (Capital),Private,8.9401946,125.5291209,valid,False,16,16304,1630400,1630400037
10068,Philippine Normal University-Mindanao Campus,CARAGA,CARAGA,Agusan Del Sur,Agusan Del Sur,PROSPERIDAD (Capital),PROSPERIDAD (Capital),Public SUC Satellite,8.6094272,125.911786,valid,False,16,16003,1600306,1600306004
16013,STI College-Surigao,CARAGA,CARAGA,Surigao Del Norte,Surigao Del Norte,Surigao City,Surigao City,Private,9.7882223,125.4936605,valid,False,16,16067,1606724,1606724068
10071,Saint Francis Xavier College,CARAGA,CARAGA,Agusan Del Sur,Agusan Del Sur,San Francisco,San Francisco,Private,8.5038614,125.9763918,valid,False,16,16003,1600308,1600308019
10073,Saint Joseph Institute of Technology,CARAGA,CARAGA,Agusan Del Norte,Agusan Del Norte,BUTUAN CITY (Capital),BUTUAN CITY (Capital),Private,8.951273,125.5411184,valid,False,16,16304,1630400,1630400053
16010,Saint Michael College of Caraga,CARAGA,CARAGA,Agusan Del Norte,Agusan Del Norte,Nasipit,Nasipit,Private,8.9882671,125.3404024,valid,False,16,16002,1600209,1600209013
11065,Saint Michael College-Cantilan,CARAGA,CARAGA,Surigao Del Sur,Surigao Del Sur,Cantilan,Cantilan,Private,9.3361507,125.9758405,valid,False,16,16068,1606805,1606805011
16017,Saint Peter College Seminary,CARAGA,CARAGA,Agusan Del Norte,Agusan Del Norte,BUTUAN CITY (Capital),BUTUAN CITY (Capital),Private,8.9601564,125.5910934,valid,False,16,16304,1630400,1630400007
11067,Saint Theresa College of Tandag,CARAGA,CARAGA,Surigao Del Sur,Surigao Del Sur,Tandag City,Tandag City,Private,9.0796797,126.1970437,valid,False,16,16068,1606819,1606819006
11068,Saint Vincent de Paul Diocesan College,CARAGA,CARAGA,Surigao Del Sur,Surigao Del Sur,Bislig City,Bislig City,Private,8.1848443,126.3497635,valid,False,16,16068,1606803,1606803009
10078,San Francisco Colleges,CARAGA,CARAGA,Agusan Del Sur,Agusan Del Sur,San Francisco,San Francisco,Private,8.5056752,125.9763153,valid,False,16,16003,1600308,1600308017
16003,Siargao Island Institute of Technology,CARAGA,CARAGA,Surigao Del Norte,Surigao Del Norte,Dapa,Dapa,Private,9.760829,126.047129,valid,False,16,16067,1606707,1606707016
11079,Southern Technological Institute of the Philippines,CARAGA,CARAGA,Surigao Del Sur,Surigao Del Sur,Bislig City,Bislig City,Private,8.1842639,126.3523353,valid,False,16,16068,1606803,1606803009
16011,Southway College of Technology,CARAGA,CARAGA,Agusan Del Sur,Agusan Del Sur,San Francisco,San Francisco,Private,8.5089765,125.9696657,valid,False,16,16003,1600308,1600308017
10074,St. Jude Thaddeus Institute of Technology,CARAGA,CARAGA,Surigao Del Norte,Surigao Del Norte,Surigao City,Surigao City,Private,9.786751,125.4983282,valid,False,16,16067,1606724,1606724048
10080,St. Paul University Surigao,CARAGA,CARAGA,Surigao Del Norte,Surigao Del Norte,Surigao City,Surigao City,Private,9.7896208,125.4934421,valid,False,16,16067,1606724,1606724068
16027,Surigao Doctors' College,CARAGA,CARAGA,Surigao del Norte,Surigao del Norte,Surigao City,Surigao City,Private,9.7911216,125.4928456,valid,False,16,16067,1606724,1606724068
10088,Surigao Education Center,CARAGA,CARAGA,Surigao Del Norte,Surigao Del Norte,Surigao City,Surigao City,Private,9.7799645,125.4844987,valid,False,16,16067,1606724,1606724068
10095,Surigao State College of Technology-Del Carmen,CARAGA,CARAGA,Surigao Del Norte,Surigao Del Norte,Del Carmen,Del Carmen,Public SUC Satellite,9.873859,125.9704174,valid,False,16,16067,1606708,1606708022
10087,Surigao State College of Technology-Main,CARAGA,CARAGA,Surigao Del Norte,Surigao Del Norte,Surigao City,Surigao City,Public SUC Main,9.7873599,125.494424,valid,False,16,16067,1606724,1606724068
16028,Surigao State College of Technology-Mainit,CARAGA,CARAGA,Surigao del Norte,Surigao del Norte,Mainit,Mainit,Public SUC Satellite,9.7873599,125.494424,valid,False,16,16067,1606724,1606724068
16009,Surigao State College of Technology-Malimono,CARAGA,CARAGA,Surigao Del Norte,Surigao Del Norte,Malimono,Malimono,Public SUC Satellite,9.57498,125.422997,valid,False,16,16067,1606715,1606715009
11082,Surigao Sur Colleges,CARAGA,CARAGA,Surigao Del Sur,Surigao Del Sur,Barobo,Barobo,Private,8.5407135,126.1126768,valid,False,16,16068,1606801,1606801015
11099a,University of Southeastern Philippines-Bislig Campus,CARAGA,CARAGA,Surigao Del Sur,Surigao Del Sur,Bislig City,Bislig City,Public SUC Satellite,8.21006,126.285004,valid,False,16,16068,1606803,1606803006
17007,ACLC College of Calapan,MIMAROPA,Region 04-B,Oriental Mindoro,Oriental Mindoro,Calapan City,Calapan City,Private,13.3782067,121.1704956,valid,False,17,17052,1705205,1705205056
04001,Abada College,MIMAROPA,Region 04-B,Oriental Mindoro,Oriental Mindoro,Pinamalayan,Pinamalayan,Private,13.0404338,121.4784545,valid,False,17,17052,1705209,1705209015
04283,Ark of the Covenant Montessori Chamber of Learning College,MIMAROPA,Region 04-B,Oriental Mindoro,Oriental Mindoro,Victoria,Victoria,Private,12.6730003,121.3539963,valid,False,17,17052,1705203,1705203901
